Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,TE Group Measure Count,Count of Facility TE Measures,Full Address,Net MORT Score,Net Safety Score,Net READM Score,Location,Latitude,Longitude
520035,AURORA HEALTH CARE CENTRAL INC,2629 N 7TH ST,SHEBOYGAN,WI,53083,SHEBOYGAN,(920) 451-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,5,0,5,0,8,6,1,5,0,11,8,1,7,0,8,8,12,10,"2629 N 7TH ST, SHEBOYGAN, WI",0,1,1,"Memorial Hospital, 2629, North 7th Street, Sheboygan, Sheboygan County, Wisconsin, 53083, United States",43.7737237,-87.7109856
520037,MARSHFIELD MEDICAL CENTER,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WOOD,(715) 387-9963,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,7,7,0,7,0,8,7,2,4,1,11,11,0,11,0,8,8,12,10,"611 ST JOSEPH AVE, MARSHFIELD, WI",0,1,0,"Marshfield Medical Center - Marshfield, 611, Saint Joseph Avenue, Marshfield, Wood County, Wisconsin, 54449, United States",44.6789753,-90.1761833
520038,AURORA MEDICAL CTR WASHINGTON COUNTY,1032 E SUMNER ST,HARTFORD,WI,53027,WASHINGTON,(262) 673-2300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,N,4,7,3,0,3,0,8,2,0,2,0,11,6,2,4,0,8,8,12,9,"1032 E SUMNER ST, HARTFORD, WI",0,0,2,"Aurora Medical Center, 1032, East Sumner Street, Hartford, Washington County, Wisconsin, 53027, United States",43.3187832,-88.3624843
52003F,MILWAUKEE VA MEDICAL CENTER,5000 W. NATIONAL AVENUE,MILWAUKEE,WI,53295,MILWAUKEE,(414) 384-2000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,N,4,7,5,0,5,0,8,4,0,4,0,11,6,0,3,3,8,8,12,6,"5000 W. NATIONAL AVENUE, MILWAUKEE, WI",0,0,-3,"5000, West National Avenue, Milwaukee, Milwaukee County, Wisconsin, 53295, United States",43.0294865,-87.9818789
520041,ASPIRUS DIVINE SAVIOR HOSPITAL,2817 NEW PINERY ROAD,PORTAGE,WI,53901,COLUMBIA,(608) 742-4131,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,4,0,4,0,8,2,0,2,0,11,7,1,6,0,8,8,12,9,"2817 NEW PINERY ROAD, PORTAGE, WI",0,0,1,"Aspirus Divine Savior Hospital, 2817, New Pinery Road, Portage, Columbia County, Wisconsin, 53901, United States",43.5659975,-89.464532
520044,ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,SHEBOYGAN,(920) 459-8300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,3,0,3,0,8,2,0,2,0,11,5,0,5,0,8,8,12,10,"3100 SUPERIOR AVE, SHEBOYGAN, WI",0,0,0,"Saint Nicholas Hospital, 3100, Superior Avenue, Sheboygan, Sheboygan County, Wisconsin, 53081, United States",43.7631224,-87.747365
520045,THEDACARE REGIONAL MED CTR - NEENAH,130 2ND ST,NEENAH,WI,54956,WINNEBAGO,(920) 729-3100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,5,0,5,0,8,6,0,6,0,11,7,0,7,0,8,8,12,10,"130 2ND ST, NEENAH, WI",0,0,0,"ThedaCare Regional Medical Center-Neenah, 130, 2nd Street, Neenah, Winnebago County, Wisconsin, 54956, United States",44.1878724,-88.4531852
520049,BELLIN MEMORIAL HOSPITAL,744 S WEBSTER AVE,GREEN BAY,WI,54301,BROWN,(920) 433-3500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,7,0,7,0,8,6,2,4,0,11,10,1,9,0,8,8,12,10,"744 S WEBSTER AVE, GREEN BAY, WI",0,2,1,"Bellin Hospital Green Bay, 744, South Webster Avenue, Astor, Green Bay, Brown County, Wisconsin, 54305, United States",44.5027398,-88.0114646
52004F,MADISON VA MEDICAL CENTER,2500 OVERLOOK TERRACE,MADISON,WI,53705,DANE,(608) 256-1901,Acute Care - Veterans Administration,Veterans Health Administration,Yes,N,5,7,5,2,3,0,8,4,0,4,0,11,6,0,5,1,8,8,12,5,"2500 OVERLOOK TERRACE, MADISON, WI",2,0,-1,"2500, Overlook Terrace, Forest Products Laboratory Campus, Shorewood Hills, Dane County, Wisconsin, 53705, United States",43.074041,-89.429059
520051,ASCENSION COLUMBIA ST MARYS HOSPITAL MILWAUKEE,2323 N LAKE DR,MILWAUKEE,WI,53211,MILWAUKEE,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,7,7,0,7,0,8,7,2,5,0,11,10,0,9,1,8,8,12,10,"2323 N LAKE DR, MILWAUKEE, WI",0,2,-1,"Ascension Columbia Saint Mary's Women's Medical Center, 2323, North Lake Drive, Downer Avenue, Northpoint, East Side, Milwaukee, Milwaukee County, Wisconsin, 53211, United States",43.0612594,-87.8799354
520057,SSM HEALTH ST CLARE HOSPITAL - BARABOO,707 14TH ST,BARABOO,WI,53913,SAUK,(608) 356-1400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,4,0,4,0,8,2,0,2,0,11,8,0,8,0,8,8,12,11,"707 14TH ST, BARABOO, WI",0,0,0,"Saint Clare Hospital, 707, 14th Street, Baraboo, Sauk County, Wisconsin, 53913, United States",43.4812026,-89.7288407
520059,AURORA MEMORIAL HOSPITAL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,RACINE,(262) 767-6545,Acute Care Hospitals,Voluntary non-profit - Private,Yes,N,5,7,4,0,4,0,8,3,1,2,0,11,6,2,4,0,8,8,12,10,"252 MCHENRY ST, BURLINGTON, WI",0,1,2,"Aurora Memorial Hospital of Burlington, 252, McHenry Street, Burlington, Racine County, Wisconsin, 53105, United States",42.6727643,-88.2814022
520062,OCONOMOWOC MEMORIAL HOSPITAL,791 E SUMMIT AVE,OCONOMOWOC,WI,53066,WAUKESHA,(262) 569-9400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,5,0,5,0,8,4,0,4,0,11,9,0,9,0,8,8,12,10,"791 E SUMMIT AVE, OCONOMOWOC, WI",0,0,0,"Summit Avenue, Oconomowoc, Waukesha County, Wisconsin, 53066, United States",43.1083066,-88.4970524
520063,ST JOSEPHS COMMUNITY HOSPITAL WEST BEND,3200 PLEASANT VALLEY ROAD,WEST BEND,WI,53095,WASHINGTON,(262) 334-5533,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,4,0,4,0,8,4,0,4,0,11,9,0,9,0,8,8,12,11,"3200 PLEASANT VALLEY ROAD, WEST BEND, WI",0,0,0,"Froedtert West Bend Hospital, 3200, Pleasant Valley Road, Town of West Bend, Washington County, Wisconsin, 53095, United States",43.3565505,-88.195552
520066,MERCY HEALTH SYSTEM CORP,1000 MINERAL POINT AVE,JANESVILLE,WI,53547,ROCK,(608) 756-6161,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,7,0,7,0,8,7,1,6,0,11,11,0,9,2,8,8,12,11,"1000 MINERAL POINT AVE, JANESVILLE, WI",0,1,-2,"Mercy Health Hospital & Trauma Center, 1000, Mineral Point Avenue, Janesville, Rock County, Wisconsin, 53548, United States",42.6879304,-89.0338544
520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,EAU CLAIRE,(715) 838-3311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,7,1,6,0,8,7,2,5,0,11,11,1,10,0,8,8,12,11,"1221 WHIPPLE ST, EAU CLAIRE, WI",1,2,1,"Mayo Clinic Health System-Luther Campus, 1221, Whipple Street, Cannery District, Eau Claire, Eau Claire County, Wisconsin, 54703, United States",44.8154285,-91.5163326
520075,ST VINCENT HOSPITAL,835 S VAN BUREN ST,GREEN BAY,WI,54301,BROWN,(920) 433-0111,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,7,7,0,7,0,8,6,4,1,1,11,10,0,10,0,8,8,12,10,"835 S VAN BUREN ST, GREEN BAY, WI",0,3,0,"Saint Vincent Hospital, 835, South Van Buren Street, Astor, Green Bay, Brown County, Wisconsin, 54307, United States",44.5003345,-88.0131465
520076,MARSHFIELD MEDICAL CENTER - BEAVER DAM (MMC-BD),707 S UNIVERSITY AVE,BEAVER DAM,WI,53916,DODGE,(920) 887-7181,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,3,0,3,0,8,3,0,3,0,11,6,1,5,0,8,8,12,9,"707 S UNIVERSITY AVE, BEAVER DAM, WI",0,0,1,"Marshfield Medical Center-Beaver Dam, 707, South University Avenue, Town of Beaver Dam, Dodge County, Wisconsin, 53916, United States",43.4479604,-88.8266671
520078,ASCENSION ST FRANCIS HOSPITAL,3237 S 16TH ST,MILWAUKEE,WI,53215,MILWAUKEE,(414) 647-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,N,4,7,3,0,3,0,8,4,0,4,0,11,8,0,7,1,8,8,12,7,"3237 S 16TH ST, MILWAUKEE, WI",0,0,-1,"Ascension St. Francis Hospital, 3237, South 16th Street, Morgandale, Milwaukee, Milwaukee County, Wisconsin, 53215, United States",42.9857542,-87.9362158
520083,SSM HEALTH ST MARY'S HOSPITAL - MADISON,700 SOUTH PARK ST,MADISON,WI,53715,DANE,(608) 251-6100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,7,0,7,0,8,8,3,5,0,11,11,0,10,1,8,8,12,9,"700 SOUTH PARK ST, MADISON, WI",0,3,-1,"Saint Mary's Hospital, 700, South Park Street, Greenbush, Madison, Dane County, Wisconsin, 53715, United States",43.0585906,-89.4042471
520087,GUNDERSEN LUTHERAN MEDICAL CENTER,1910 SOUTH AVE,LA CROSSE,WI,54601,LA CROSSE,(608) 782-7300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,7,0,7,0,8,8,3,5,0,11,11,0,11,0,8,8,12,12,"1910 SOUTH AVE, LA CROSSE, WI",0,3,0,"1910, South Avenue, Powell-Poage-Hamilton, La Crosse, La Crosse County, Wisconsin, 54601, United States",43.7950237,-91.2468174
520088,SSM HEALTH ST AGNES HOSPITAL-FOND DU LAC,430 E DIVISION ST,FOND DU LAC,WI,54935,FOND DU LAC,(920) 929-2300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,7,0,7,0,8,6,1,5,0,11,8,1,7,0,8,8,12,12,"430 E DIVISION ST, FOND DU LAC, WI",0,1,1,"St. Agnes Hospital, 430, East Division Street, Fond du Lac, Fond du Lac County, Wisconsin, 54935, United States",43.7784695,-88.4319909
520089,UNITYPOINT HEALTH - MERITER,202 S PARK ST,MADISON,WI,53715,DANE,(608) 417-6210,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,6,2,4,0,8,7,1,5,1,11,9,0,8,1,8,8,12,11,"202 S PARK ST, MADISON, WI",2,0,-1,"UnityPoint Health - Meriter, 202, South Park Street, Greenbush, Bowens Addition, Madison, Dane County, Wisconsin, 53715, United States",43.0655438,-89.4016931
520091,HOWARD YOUNG MEDICAL CENTER,240 MAPLE ST,WOODRUFF,WI,54568,VILAS,(715) 356-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,N,4,7,4,0,4,0,8,2,0,2,0,11,5,1,4,0,8,8,12,9,"240 MAPLE ST, WOODRUFF, WI",0,0,1,"Howard Young Medical Center, 240, Maple Street, Woodruff, Town of Woodruff, Oneida County, Wisconsin, 54568, United States",45.8935243,-89.7021491
520095,SAUK PRAIRIE HOSPITAL,260 26TH STREET,PRAIRIE DU SAC,WI,53578,SAUK,(608) 643-3311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,3,0,3,0,8,3,0,3,0,11,6,1,5,0,8,8,12,10,"260 26TH STREET, PRAIRIE DU SAC, WI",0,0,1,"Sauk Prairie Healthcare, 260, 26th Street, Village of Prairie du Sac, Sauk County, Wisconsin, 53578, United States",43.2892836,-89.7559973
520096,ASCENSION ALL SAINTS HOSPITAL,3801 SPRING ST,RACINE,WI,53405,RACINE,(262) 687-4011,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,7,6,0,6,0,8,8,0,8,0,11,10,0,10,0,8,8,12,10,"3801 SPRING ST, RACINE, WI",0,0,0,"St Marys Clinic, 3801, Spring Street, Racine, Racine County, Wisconsin, 53132, United States",42.730668,-87.827789
520097,ST MARYS HOSPITAL MEDICAL CTR,1726 SHAWANO AVE,GREEN BAY,WI,54303,BROWN,(920) 498-4200,Acute Care Hospitals,Voluntary non-profit - Other,Yes,N,4,7,5,0,5,0,8,4,0,4,0,11,7,1,6,0,8,8,12,9,"1726 SHAWANO AVE, GREEN BAY, WI",0,0,1,"Saint Mary's Hospital Medical Center, 1726, Shawano Avenue, Green Bay, Brown County, Wisconsin, 54303, United States",44.5338613,-88.0664483
520098,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,600 HIGHLAND AVENUE,MADISON,WI,53792,DANE,(608) 263-6400,Acute Care Hospitals,Government - Hospital District or Authority,Yes,N,4,7,7,2,5,0,8,8,3,5,0,11,11,1,10,0,8,8,12,11,"600 HIGHLAND AVENUE, MADISON, WI",2,3,1,"UW Health University Hospital, 600, Highland Avenue, Madison, Dane County, Wisconsin, 53792, United States",43.0763751,-89.4320049
520100,BELOIT HEALTH SYSTEM,1969 W HART RD,BELOIT,WI,53511,ROCK,(608) 364-5011,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,6,0,6,0,8,5,0,5,0,11,9,0,9,0,8,8,12,11,"1969 W HART RD, BELOIT, WI",0,0,0,"Beloit Memorial Hospital, 1969, West Hart Road, Beloit, Rock County, Wisconsin, 53511, United States",42.5482097,-89.0084169
520102,AURORA LAKELAND MEDICAL CENTER,W3985 COUNTY ROAD NN,ELKHORN,WI,53121,WALWORTH,(262) 741-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,4,0,4,0,8,4,0,4,0,11,6,1,5,0,8,8,12,11,"W3985 COUNTY ROAD NN, ELKHORN, WI",0,0,1,"County Road H, Elkhorn, Walworth County, Wisconsin, 53121, United States",42.6700037,-88.5300471
520103,COMMUNITY MEMORIAL HOSPITAL,W180 N8085 TOWN HALL RD,MENOMONEE FALLS,WI,53051,WAUKESHA,(262) 251-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,N,3,7,6,0,6,0,8,7,1,6,0,11,8,0,6,2,8,8,12,11,"W180 N8085 TOWN HALL RD, MENOMONEE FALLS, WI",0,1,-2,"Froedtert Menomonee Falls Hospital, W180 N8085, Town Hall Road, Menomonee Falls, Waukesha County, Wisconsin, 53051, United States",43.1642439,-88.1370459
520107,HOLY FAMILY MEMORIAL,2300 WESTERN AVE,MANITOWOC,WI,54221,MANITOWOC,(920) 320-2011,Acute Care Hospitals,Voluntary non-profit - Other,Yes,N,3,7,2,0,2,0,8,3,0,3,0,11,8,0,8,0,8,8,12,9,"2300 WESTERN AVE, MANITOWOC, WI",0,0,0,"Holy Family Memorial Medical Center, 2300, Western Avenue, Manitowoc, Manitowoc County, Wisconsin, 54221, United States",44.0950635,-87.6757202
520113,BAY AREA MEDICAL CENTER,3003 UNIVERSITY DR,MARINETTE,WI,54143,MARINETTE,(715) 735-4200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,4,0,4,0,8,2,0,2,0,11,8,0,7,1,8,8,12,11,"3003 UNIVERSITY DR, MARINETTE, WI",0,0,-1,"Aurora Medical Center - Bay Area, 3003, University Drive, Marinette, Marinette County, Wisconsin, 54143, United States",45.0688198,-87.6448862
520116,WATERTOWN MEMORIAL HOSPITAL,125 HOSPITAL DRIVE,WATERTOWN,WI,53098,DODGE,(920) 261-4210,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,5,0,4,1,8,3,0,3,0,11,7,1,6,0,8,8,12,10,"125 HOSPITAL DRIVE, WATERTOWN, WI",-1,0,1,"Watertown Regional Medical Center, 125, Hospital Drive, Watertown, Dodge County, Wisconsin, 53098, United States",43.2002476,-88.6965791
520136,ASCENSION SE WISCONSIN HOSPITAL,5000 W CHAMBERS ST,MILWAUKEE,WI,53210,MILWAUKEE,(414) 447-2130,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,7,6,0,6,0,8,7,1,6,0,11,10,1,9,0,8,8,12,11,"5000 W CHAMBERS ST, MILWAUKEE, WI",0,1,1,"Saint Joseph Hospital, 5000, West Chambers Street, Saint Joseph's, Sherman Park, Milwaukee, Milwaukee County, Wisconsin, 53210, United States",43.0741653,-87.976348
520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,MILWAUKEE,(414) 649-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,7,3,4,0,8,8,2,3,3,11,11,0,10,1,8,8,12,11,"2900 W OKLAHOMA AVE, MILWAUKEE, WI",3,-1,-1,"Aurora Saint Luke's Medical Center, 2900, West Oklahoma Avenue, Southgate, Milwaukee, Milwaukee County, Wisconsin, 53215, United States",42.9899857,-87.9504134
520139,WEST ALLIS MEMORIAL HOSPITAL,8901 W LINCOLN AVE,WEST ALLIS,WI,53227,MILWAUKEE,(414) 328-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,5,1,4,0,8,7,1,6,0,11,7,0,7,0,8,8,12,10,"8901 W LINCOLN AVE, WEST ALLIS, WI",1,1,0,"Aurora West Allis Medical Center, 8901, West Lincoln Avenue, Eckel Woods, West Allis, Milwaukee County, Wisconsin, 53227, United States",43.0008931,-88.0244055
520160,THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,1818 N MEADE ST,APPLETON,WI,54911,OUTAGAMIE,(920) 731-4101,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,7,0,7,0,8,7,1,5,1,11,11,3,8,0,8,8,12,11,"1818 N MEADE ST, APPLETON, WI",0,0,3,"ThedaCare Regional Medical Center-Appleton, 1818, North Meade Street, Erb Park, Huntley Houses, Appleton, Outagamie County, Wisconsin, 54911, United States",44.2788309,-88.3931722
520177,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,MILWAUKEE,(414) 805-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,7,1,6,0,8,7,4,3,0,11,10,0,8,2,8,8,12,11,"9200 W WISCONSIN AVE, MILWAUKEE, WI",1,4,-2,"Froedtert Hospital, 9200, West Wisconsin Avenue, Cannon Park, Milwaukee, Milwaukee County, Wisconsin, 53226, United States",43.0413956,-88.0245562
520189,AURORA MEDICAL CENTER KENOSHA,10400 75TH ST,KENOSHA,WI,53142,KENOSHA,(262) 948-5600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,5,0,5,0,8,6,0,6,0,11,6,1,5,0,8,8,12,11,"10400 75TH ST, KENOSHA, WI",0,0,1,"Aurora Medical Center, 10400, 75th Street, Pleasant Prairie, Kenosha County, Wisconsin, 53143, United States",42.5698312,-87.935582
520193,AURORA BAYCARE MEDICAL CTR,2845 GREENBRIER RD,GREEN BAY,WI,54313,BROWN,(920) 288-8000,Acute Care Hospitals,Proprietary,Yes,Y,4,7,7,0,7,0,8,8,0,8,0,11,11,1,10,0,8,8,12,11,"2845 GREENBRIER RD, GREEN BAY, WI",0,0,1,,44.4674,-87.9403
520198,AURORA MEDICAL CTR OSHKOSH,855 N WESTHAVEN DRIVE,OSHKOSH,WI,54904,WINNEBAGO,(920) 456-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,5,0,5,0,8,5,0,5,0,11,8,0,8,0,8,8,12,12,"855 N WESTHAVEN DRIVE, OSHKOSH, WI",0,0,0,"855, North Westhaven Drive, Oshkosh, Winnebago County, Wisconsin, 54904, United States",44.0286492,-88.5936358
520202,MARSHFIELD MEDICAL CENTER - WESTON,3400 MINISTRY PARKWAY,WESTON,WI,54476,MARATHON,(715) 393-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,5,0,5,0,8,5,0,5,0,11,9,0,9,0,8,8,12,9,"3400 MINISTRY PARKWAY, WESTON, WI",0,0,0,"Marshfield Medical Center-Weston, 3400, Ministry Parkway, Weston Medical Center, Village of Weston, Marathon County, Wisconsin, 54476, United States",44.8908856,-89.5802155
520206,AURORA MEDICAL CENTER - SUMMIT,36500 AURORA DRIVE,SUMMIT,WI,53066,WAUKESHA,(262) 434-1600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,6,0,6,0,8,5,0,5,0,11,7,2,4,1,8,8,12,11,"36500 AURORA DRIVE, SUMMIT, WI",0,0,1,"Aurora Medical Center, 36500, Aurora Drive, Summit, Waukesha County, Wisconsin, 53066, United States",43.0656744,-88.4672145
520207,AURORA MEDICAL CENTER,975 PORT WASHINGTON ROAD,GRAFTON,WI,53024,OZAUKEE,(262) 329-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,7,1,6,0,8,7,0,7,0,11,9,0,7,2,8,8,12,11,"975 PORT WASHINGTON ROAD, GRAFTON, WI",1,0,-2,"Aurora Medical Center in Grafton, 975, North Port Washington Road, Grafton, Ozaukee County, Wisconsin, 53024, United States",43.3258798,-87.9278528
